Date,State,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-01,Uttar_Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-01,Uttar_Pradesh,Mushroom,87,100 - 110,104 - 144,1kg,N/A
2024-05-01,Uttar_Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-01,Uttar_Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,N/A
2024-05-01,Uttar_Pradesh,Pumpkin,19,22 - 24,23 - 31,1kg,N/A
2024-05-01,Uttar_Pradesh,Radish,24,28 - 30,29 - 40,1kg,N/A
2024-05-01,Uttar_Pradesh,Ridge Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-01,Uttar_Pradesh,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-01,Uttar_Pradesh,Snake Gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-01,Uttar_Pradesh,Sorrel Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-01,Uttar_Pradesh,Spinach,16,18 - 20,19 - 26,1kg,N/A
2024-05-01,Uttar_Pradesh,Sweet Potato,39,45 - 50,47 - 64,1kg,N/A
2024-05-02,Uttar_Pradesh,Onion Big,27,31 - 34,32 - 45,1kg,N/A
2024-05-02,Uttar_Pradesh,Onion Small,32,37 - 41,38 - 53,1kg,N/A
2024-05-02,Uttar_Pradesh,Tomato,27,31 - 34,32 - 45,1kg,N/A
2024-05-02,Uttar_Pradesh,Green Chilli,44,51 - 56,53 - 73,1kg,N/A
2024-05-02,Uttar_Pradesh,Beetroot,38,44 - 48,46 - 63,1kg,N/A
2024-05-02,Uttar_Pradesh,Potato,28,32 - 36,34 - 46,1kg,N/A
2024-05-02,Uttar_Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-02,Uttar_Pradesh,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-02,Uttar_Pradesh,Amla,75,86 - 95,90 - 124,1kg,N/A
2024-05-02,Uttar_Pradesh,Ash gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-02,Uttar_Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,N/A
2024-05-02,Uttar_Pradesh,Banana Flower,20,23 - 25,24 - 33,1kg,N/A
2024-05-02,Uttar_Pradesh,Capsicum,48,55 - 61,58 - 79,1kg,N/A
2024-05-02,Uttar_Pradesh,Bitter Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-02,Uttar_Pradesh,Bottle Gourd,26,30 - 33,31 - 43,1kg,N/A
2024-05-02,Uttar_Pradesh,Butter Beans,50,58 - 64,60 - 83,1kg,N/A
2024-05-02,Uttar_Pradesh,Broad Beans,28,32 - 36,34 - 46,1kg,N/A
2024-05-02,Uttar_Pradesh,Cabbage,22,25 - 28,26 - 36,1kg,N/A
2024-05-02,Uttar_Pradesh,Carrot,45,52 - 57,54 - 74,1kg,N/A
2024-05-02,Uttar_Pradesh,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-02,Uttar_Pradesh,Cluster beans,41,47 - 52,49 - 68,1kg,N/A
2024-05-02,Uttar_Pradesh,Coconut,34,39 - 43,41 - 56,1kg,N/A
2024-05-02,Uttar_Pradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-02,Uttar_Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,N/A
2024-05-02,Uttar_Pradesh,Coriander Leaves,8,9 - 10,10 - 13,1kg,N/A
2024-05-02,Uttar_Pradesh,Corn,26,30 - 33,31 - 43,1kg,N/A
2024-05-02,Uttar_Pradesh,Cucumber,28,32 - 36,34 - 46,1kg,N/A
2024-05-02,Uttar_Pradesh,Curry Leaves,25,29 - 32,30 - 41,1kg,N/A
2024-05-02,Uttar_Pradesh,Dill Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-02,Uttar_Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,N/A
2024-05-02,Uttar_Pradesh,Brinjal,22,25 - 28,26 - 36,1kg,N/A
2024-05-02,Uttar_Pradesh,Brinjal (Big),24,28 - 30,29 - 40,1kg,N/A
2024-05-02,Uttar_Pradesh,Elephant Yam,29,33 - 37,35 - 48,1kg,N/A
2024-05-02,Uttar_Pradesh,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-02,Uttar_Pradesh,French Beans,49,56 - 62,59 - 81,1kg,N/A
2024-05-02,Uttar_Pradesh,Garlic,152,175 - 193,182 - 251,1kg,N/A
2024-05-02,Uttar_Pradesh,Ginger,114,131 - 145,137 - 188,1kg,N/A
2024-05-02,Uttar_Pradesh,Onion Green,46,53 - 58,55 - 76,1kg,N/A
2024-05-02,Uttar_Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,N/A
2024-05-02,Uttar_Pradesh,Ivy Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-02,Uttar_Pradesh,Lemon (Lime),75,86 - 95,90 - 124,1kg,N/A
2024-05-02,Uttar_Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,N/A
2024-05-02,Uttar_Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-02,Uttar_Pradesh,Mushroom,87,100 - 110,104 - 144,1kg,N/A
2024-05-02,Uttar_Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-02,Uttar_Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,N/A
2024-05-02,Uttar_Pradesh,Pumpkin,19,22 - 24,23 - 31,1kg,N/A
2024-05-02,Uttar_Pradesh,Radish,24,28 - 30,29 - 40,1kg,N/A
2024-05-02,Uttar_Pradesh,Ridge Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-02,Uttar_Pradesh,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-02,Uttar_Pradesh,Snake Gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-02,Uttar_Pradesh,Sorrel Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-02,Uttar_Pradesh,Spinach,16,18 - 20,19 - 26,1kg,N/A
2024-05-02,Uttar_Pradesh,Sweet Potato,39,45 - 50,47 - 64,1kg,N/A
2024-05-03,Uttar_Pradesh,Onion Big,27,31 - 34,32 - 45,1kg,N/A
2024-05-03,Uttar_Pradesh,Onion Small,32,37 - 41,38 - 53,1kg,N/A
2024-05-03,Uttar_Pradesh,Tomato,27,31 - 34,32 - 45,1kg,N/A
2024-05-03,Uttar_Pradesh,Green Chilli,44,51 - 56,53 - 73,1kg,N/A
2024-05-03,Uttar_Pradesh,Beetroot,38,44 - 48,46 - 63,1kg,N/A
2024-05-03,Uttar_Pradesh,Potato,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,Uttar_Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-03,Uttar_Pradesh,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-03,Uttar_Pradesh,Amla,75,86 - 95,90 - 124,1kg,N/A
2024-05-03,Uttar_Pradesh,Ash gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-03,Uttar_Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,N/A
2024-05-03,Uttar_Pradesh,Banana Flower,20,23 - 25,24 - 33,1kg,N/A
2024-05-03,Uttar_Pradesh,Capsicum,48,55 - 61,58 - 79,1kg,N/A
2024-05-03,Uttar_Pradesh,Bitter Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-03,Uttar_Pradesh,Bottle Gourd,26,30 - 33,31 - 43,1kg,N/A
2024-05-03,Uttar_Pradesh,Butter Beans,50,58 - 64,60 - 83,1kg,N/A
2024-05-03,Uttar_Pradesh,Broad Beans,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,Uttar_Pradesh,Cabbage,22,25 - 28,26 - 36,1kg,N/A
2024-05-03,Uttar_Pradesh,Carrot,45,52 - 57,54 - 74,1kg,N/A
2024-05-03,Uttar_Pradesh,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-03,Uttar_Pradesh,Cluster beans,41,47 - 52,49 - 68,1kg,N/A
2024-05-03,Uttar_Pradesh,Coconut,34,39 - 43,41 - 56,1kg,N/A
2024-05-03,Uttar_Pradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-03,Uttar_Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,N/A
2024-05-03,Uttar_Pradesh,Coriander Leaves,8,9 - 10,10 - 13,1kg,N/A
2024-05-03,Uttar_Pradesh,Corn,26,30 - 33,31 - 43,1kg,N/A
2024-05-03,Uttar_Pradesh,Cucumber,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,Uttar_Pradesh,Curry Leaves,25,29 - 32,30 - 41,1kg,N/A
2024-05-03,Uttar_Pradesh,Dill Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-03,Uttar_Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,N/A
2024-05-03,Uttar_Pradesh,Brinjal,22,25 - 28,26 - 36,1kg,N/A
2024-05-03,Uttar_Pradesh,Brinjal (Big),24,28 - 30,29 - 40,1kg,N/A
2024-05-03,Uttar_Pradesh,Elephant Yam,29,33 - 37,35 - 48,1kg,N/A
2024-05-03,Uttar_Pradesh,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-03,Uttar_Pradesh,French Beans,49,56 - 62,59 - 81,1kg,N/A
2024-05-03,Uttar_Pradesh,Garlic,152,175 - 193,182 - 251,1kg,N/A
2024-05-03,Uttar_Pradesh,Ginger,114,131 - 145,137 - 188,1kg,N/A
2024-05-03,Uttar_Pradesh,Onion Green,46,53 - 58,55 - 76,1kg,N/A
2024-05-03,Uttar_Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,N/A
2024-05-03,Uttar_Pradesh,Ivy Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,Uttar_Pradesh,Lemon (Lime),75,86 - 95,90 - 124,1kg,N/A
2024-05-03,Uttar_Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,N/A
2024-05-03,Uttar_Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-03,Uttar_Pradesh,Mushroom,87,100 - 110,104 - 144,1kg,N/A
2024-05-03,Uttar_Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-03,Uttar_Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,N/A
2024-05-03,Uttar_Pradesh,Pumpkin,19,22 - 24,23 - 31,1kg,N/A
2024-05-03,Uttar_Pradesh,Radish,24,28 - 30,29 - 40,1kg,N/A
2024-05-03,Uttar_Pradesh,Ridge Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-03,Uttar_Pradesh,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-03,Uttar_Pradesh,Snake Gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-03,Uttar_Pradesh,Sorrel Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-03,Uttar_Pradesh,Spinach,16,18 - 20,19 - 26,1kg,N/A
2024-05-03,Uttar_Pradesh,Sweet Potato,39,45 - 50,47 - 64,1kg,N/A
2024-05-04,Uttar_Pradesh,Onion Big,27,31 - 34,32 - 45,1kg,N/A
2024-05-04,Uttar_Pradesh,Onion Small,32,37 - 41,38 - 53,1kg,N/A
2024-05-04,Uttar_Pradesh,Tomato,27,31 - 34,32 - 45,1kg,N/A
2024-05-04,Uttar_Pradesh,Green Chilli,44,51 - 56,53 - 73,1kg,N/A
2024-05-04,Uttar_Pradesh,Beetroot,38,44 - 48,46 - 63,1kg,N/A
2024-05-04,Uttar_Pradesh,Potato,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Uttar_Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-04,Uttar_Pradesh,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-04,Uttar_Pradesh,Amla,75,86 - 95,90 - 124,1kg,N/A
2024-05-04,Uttar_Pradesh,Ash gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-04,Uttar_Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,N/A
2024-05-04,Uttar_Pradesh,Banana Flower,20,23 - 25,24 - 33,1kg,N/A
2024-05-04,Uttar_Pradesh,Capsicum,48,55 - 61,58 - 79,1kg,N/A
2024-05-04,Uttar_Pradesh,Bitter Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-04,Uttar_Pradesh,Bottle Gourd,26,30 - 33,31 - 43,1kg,N/A
2024-05-04,Uttar_Pradesh,Butter Beans,50,58 - 64,60 - 83,1kg,N/A
2024-05-04,Uttar_Pradesh,Broad Beans,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Uttar_Pradesh,Cabbage,22,25 - 28,26 - 36,1kg,N/A
2024-05-04,Uttar_Pradesh,Carrot,45,52 - 57,54 - 74,1kg,N/A
2024-05-04,Uttar_Pradesh,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-04,Uttar_Pradesh,Cluster beans,41,47 - 52,49 - 68,1kg,N/A
2024-05-04,Uttar_Pradesh,Coconut,34,39 - 43,41 - 56,1kg,N/A
2024-05-04,Uttar_Pradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-04,Uttar_Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,N/A
2024-05-04,Uttar_Pradesh,Coriander Leaves,8,9 - 10,10 - 13,1kg,N/A
2024-05-04,Uttar_Pradesh,Corn,26,30 - 33,31 - 43,1kg,N/A
2024-05-04,Uttar_Pradesh,Cucumber,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Uttar_Pradesh,Curry Leaves,25,29 - 32,30 - 41,1kg,N/A
2024-05-04,Uttar_Pradesh,Dill Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-04,Uttar_Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,N/A
2024-05-04,Uttar_Pradesh,Brinjal,22,25 - 28,26 - 36,1kg,N/A
2024-05-04,Uttar_Pradesh,Brinjal (Big),24,28 - 30,29 - 40,1kg,N/A
2024-05-04,Uttar_Pradesh,Elephant Yam,29,33 - 37,35 - 48,1kg,N/A
2024-05-04,Uttar_Pradesh,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-04,Uttar_Pradesh,French Beans,49,56 - 62,59 - 81,1kg,N/A
2024-05-04,Uttar_Pradesh,Garlic,152,175 - 193,182 - 251,1kg,N/A
2024-05-04,Uttar_Pradesh,Ginger,114,131 - 145,137 - 188,1kg,N/A
2024-05-04,Uttar_Pradesh,Onion Green,46,53 - 58,55 - 76,1kg,N/A
2024-05-04,Uttar_Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,N/A
2024-05-04,Uttar_Pradesh,Ivy Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Uttar_Pradesh,Lemon (Lime),75,86 - 95,90 - 124,1kg,N/A
2024-05-04,Uttar_Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,N/A
2024-05-04,Uttar_Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-04,Uttar_Pradesh,Mushroom,87,100 - 110,104 - 144,1kg,N/A
2024-05-04,Uttar_Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-04,Uttar_Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,N/A
2024-05-04,Uttar_Pradesh,Pumpkin,19,22 - 24,23 - 31,1kg,N/A
2024-05-04,Uttar_Pradesh,Radish,24,28 - 30,29 - 40,1kg,N/A
2024-05-04,Uttar_Pradesh,Ridge Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-04,Uttar_Pradesh,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-04,Uttar_Pradesh,Snake Gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-04,Uttar_Pradesh,Sorrel Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-04,Uttar_Pradesh,Spinach,16,18 - 20,19 - 26,1kg,N/A
2024-05-04,Uttar_Pradesh,Sweet Potato,39,45 - 50,47 - 64,1kg,N/A
2024-05-05,Uttar_Pradesh,Onion Big,26,30 - 33,31 - 43,1kg,N/A
2024-05-05,Uttar_Pradesh,Onion Small,34,39 - 43,41 - 56,1kg,N/A
2024-05-05,Uttar_Pradesh,Tomato,25,29 - 32,30 - 41,1kg,N/A
2024-05-05,Uttar_Pradesh,Green Chilli,40,46 - 51,48 - 66,1kg,N/A
2024-05-05,Uttar_Pradesh,Beetroot,39,45 - 50,47 - 64,1kg,N/A
2024-05-05,Uttar_Pradesh,Potato,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Uttar_Pradesh,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,N/A
2024-05-05,Uttar_Pradesh,Amaranth Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-05,Uttar_Pradesh,Amla,75,86 - 95,90 - 124,1kg,N/A
2024-05-05,Uttar_Pradesh,Ash gourd,16,18 - 20,19 - 26,1kg,N/A
2024-05-05,Uttar_Pradesh,Baby Corn,59,68 - 75,71 - 97,1kg,N/A
2024-05-05,Uttar_Pradesh,Banana Flower,18,21 - 23,22 - 30,1kg,N/A
2024-05-05,Uttar_Pradesh,Capsicum,46,53 - 58,55 - 76,1kg,N/A
2024-05-05,Uttar_Pradesh,Bitter Gourd,35,40 - 44,42 - 58,1kg,N/A
2024-05-05,Uttar_Pradesh,Bottle Gourd,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Uttar_Pradesh,Butter Beans,46,53 - 58,55 - 76,1kg,N/A
2024-05-05,Uttar_Pradesh,Broad Beans,35,40 - 44,42 - 58,1kg,N/A
2024-05-05,Uttar_Pradesh,Cabbage,20,23 - 25,24 - 33,1kg,N/A
2024-05-05,Uttar_Pradesh,Carrot,44,51 - 56,53 - 73,1kg,N/A
2024-05-05,Uttar_Pradesh,Cauliflower,26,30 - 33,31 - 43,1kg,N/A
2024-05-05,Uttar_Pradesh,Cluster beans,43,49 - 55,52 - 71,1kg,N/A
2024-05-05,Uttar_Pradesh,Coconut,35,40 - 44,42 - 58,1kg,N/A
2024-05-05,Uttar_Pradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-05,Uttar_Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Uttar_Pradesh,Coriander Leaves,8,9 - 10,10 - 13,1kg,N/A
2024-05-05,Uttar_Pradesh,Corn,30,35 - 38,36 - 50,1kg,N/A
2024-05-05,Uttar_Pradesh,Cucumber,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Uttar_Pradesh,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Uttar_Pradesh,Dill Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-05,Uttar_Pradesh,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-05,Uttar_Pradesh,Brinjal,26,30 - 33,31 - 43,1kg,N/A
2024-05-05,Uttar_Pradesh,Brinjal (Big),25,29 - 32,30 - 41,1kg,N/A
2024-05-05,Uttar_Pradesh,Elephant Yam,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Uttar_Pradesh,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-05,Uttar_Pradesh,French Beans,55,63 - 70,66 - 91,1kg,N/A
2024-05-05,Uttar_Pradesh,Garlic,164,189 - 208,197 - 271,1kg,N/A
2024-05-05,Uttar_Pradesh,Ginger,102,117 - 130,122 - 168,1kg,N/A
2024-05-05,Uttar_Pradesh,Onion Green,45,52 - 57,54 - 74,1kg,N/A
2024-05-05,Uttar_Pradesh,Green Peas,49,56 - 62,59 - 81,1kg,N/A
2024-05-05,Uttar_Pradesh,Ivy Gourd,24,28 - 30,29 - 40,1kg,N/A
2024-05-05,Uttar_Pradesh,Lemon (Lime),62,71 - 79,74 - 102,1kg,N/A
2024-05-05,Uttar_Pradesh,Mango Raw,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Uttar_Pradesh,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-05,Uttar_Pradesh,Mushroom,94,108 - 119,113 - 155,1kg,N/A
2024-05-05,Uttar_Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-05,Uttar_Pradesh,Ladies Finger,38,44 - 48,46 - 63,1kg,N/A
2024-05-05,Uttar_Pradesh,Pumpkin,23,26 - 29,28 - 38,1kg,N/A
2024-05-05,Uttar_Pradesh,Radish,24,28 - 30,29 - 40,1kg,N/A
2024-05-05,Uttar_Pradesh,Ridge Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-05,Uttar_Pradesh,Shallot (Pearl Onion),33,38 - 42,40 - 54,1kg,N/A
2024-05-05,Uttar_Pradesh,Snake Gourd,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Uttar_Pradesh,Sorrel Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-05,Uttar_Pradesh,Spinach,13,15 - 17,16 - 21,1kg,N/A
2024-05-05,Uttar_Pradesh,Sweet Potato,37,43 - 47,44 - 61,1kg,N/A
2024-05-06,Uttar_Pradesh,Onion Big,26,30 - 33,31 - 43,1kg,N/A
2024-05-06,Uttar_Pradesh,Onion Small,34,39 - 43,41 - 56,1kg,N/A
2024-05-06,Uttar_Pradesh,Tomato,25,29 - 32,30 - 41,1kg,N/A
2024-05-06,Uttar_Pradesh,Green Chilli,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,Uttar_Pradesh,Beetroot,39,45 - 50,47 - 64,1kg,N/A
2024-05-06,Uttar_Pradesh,Potato,27,31 - 34,32 - 45,1kg,N/A
2024-05-06,Uttar_Pradesh,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,N/A
2024-05-06,Uttar_Pradesh,Amaranth Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-06,Uttar_Pradesh,Amla,75,86 - 95,90 - 124,1kg,N/A
2024-05-06,Uttar_Pradesh,Ash gourd,16,18 - 20,19 - 26,1kg,N/A
2024-05-06,Uttar_Pradesh,Baby Corn,59,68 - 75,71 - 97,1kg,N/A
2024-05-06,Uttar_Pradesh,Banana Flower,18,21 - 23,22 - 30,1kg,N/A
2024-05-06,Uttar_Pradesh,Capsicum,46,53 - 58,55 - 76,1kg,N/A
2024-05-06,Uttar_Pradesh,Bitter Gourd,35,40 - 44,42 - 58,1kg,N/A
2024-05-06,Uttar_Pradesh,Bottle Gourd,27,31 - 34,32 - 45,1kg,N/A
2024-05-06,Uttar_Pradesh,Butter Beans,46,53 - 58,55 - 76,1kg,N/A
2024-05-06,Uttar_Pradesh,Broad Beans,35,40 - 44,42 - 58,1kg,N/A
2024-05-06,Uttar_Pradesh,Cabbage,20,23 - 25,24 - 33,1kg,N/A
2024-05-06,Uttar_Pradesh,Carrot,44,51 - 56,53 - 73,1kg,N/A
2024-05-06,Uttar_Pradesh,Cauliflower,26,30 - 33,31 - 43,1kg,N/A
2024-05-06,Uttar_Pradesh,Cluster beans,43,49 - 55,52 - 71,1kg,N/A
2024-05-06,Uttar_Pradesh,Coconut,35,40 - 44,42 - 58,1kg,N/A
2024-05-06,Uttar_Pradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-06,Uttar_Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,N/A
